Title,URL,Duration,Upload Date,VideoID
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 9),https://www.youtube.com/watch?v=Jmbz8T_6dvQ,2023-04-06T12:00:12Z,PT2H11M57S,Jmbz8T_6dvQ
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 8),https://www.youtube.com/watch?v=tzrDjFs0zL4,2023-04-02T12:00:37Z,PT6H9M31S,tzrDjFs0zL4
Jerma Streams - Resident Evil 4 Remake (Part 4 Finale),https://www.youtube.com/watch?v=Uxo2RCqTbhw,2023-03-30T14:00:17Z,PT5H42M26S,Uxo2RCqTbhw
Jerma Streams - Resident Evil 4 Remake (Part 3),https://www.youtube.com/watch?v=SY4CjE4nln4,2023-03-27T12:00:17Z,PT6H8M4S,SY4CjE4nln4
Jerma Streams - Resident Evil 4 Remake (Part 2),https://www.youtube.com/watch?v=u68J2T7sthw,2023-03-26T12:00:38Z,PT6H49M8S,u68J2T7sthw
Jerma Streams - Resident Evil 4 Remake,https://www.youtube.com/watch?v=VOXGbh3gxj8,2023-03-24T13:30:24Z,PT5H12M23S,VOXGbh3gxj8
Jerma Streams - Nancy Drew: The White Wolf of Icicle Creek (Part 2 Finale),https://www.youtube.com/watch?v=4O8p5yWZcNE,2023-03-20T12:00:03Z,PT7H10M42S,4O8p5yWZcNE
Jerma Streams - Diablo IV and Nancy Drew: The White Wolf of Icicle Creek (Part 1),https://www.youtube.com/watch?v=gOr9xv9cL88,2023-03-18T12:00:27Z,PT6H13M44S,gOr9xv9cL88
Jerma Streams - Travellers Rest,https://www.youtube.com/watch?v=wODQR5JIElU,2023-03-05T13:00:38Z,PT5H51M50S,wODQR5JIElU
Jerma Streams - Hylics,https://www.youtube.com/watch?v=mCl3zATX18c,2023-03-04T13:00:34Z,PT4H40M53S,mCl3zATX18c
Jerma Streams - Frog Detective 3 and Grotto Beasts Announcement,https://www.youtube.com/watch?v=v_ljtXIVg74,2023-03-01T13:00:44Z,PT3H56M18S,v_ljtXIVg74
Jerma Streams - Pizza Tower (Part 2 Finale),https://www.youtube.com/watch?v=niKCmKEL0uU,2023-02-24T13:00:37Z,PT3H36M17S,niKCmKEL0uU
Jerma Streams - Pizza Tower,https://www.youtube.com/watch?v=FyVG9jwQaAA,2023-02-23T14:00:07Z,PT3H49M4S,FyVG9jwQaAA
Jerma Streams - Worldbox,https://www.youtube.com/watch?v=7dnG-G534TA,2023-02-23T14:00:06Z,PT1H27M1S,7dnG-G534TA
Jerma Streams - The Binding of Isaac: Repentance (Part 2),https://www.youtube.com/watch?v=Nnbh2QV73Ps,2023-02-23T13:00:12Z,PT6H26M6S,Nnbh2QV73Ps
Jerma Streams - The Last Hero of Nostalgaia (Part 3 Finale),https://www.youtube.com/watch?v=jSMfoAfVz5w,2023-02-19T13:00:26Z,PT8H25M52S,jSMfoAfVz5w
Jerma Streams - Wild Hearts [With Vinny Vinesauce],https://www.youtube.com/watch?v=NHpcwiYR9SA,2023-02-18T19:00:13Z,PT3H25M1S,NHpcwiYR9SA
Jerma Streams - The Last Hero of Nostalgaia (Part 2),https://www.youtube.com/watch?v=MrEGuhbMToA,2023-02-18T19:00:10Z,PT2H45M44S,MrEGuhbMToA
Jerma Streams - The Last Hero of Nostalgaia,https://www.youtube.com/watch?v=9h2aJ1ttxN8,2023-02-17T13:00:07Z,PT5H47M14S,9h2aJ1ttxN8
Jerma Streams - Elden Ring (Part 21) [Randomizer With Ster],https://www.youtube.com/watch?v=31sFaP3fceo,2023-02-13T13:00:03Z,PT6H12M21S,31sFaP3fceo
Jerma Streams - Dark and Darker (Part 3) [With Etalyx Pokelawls Criken Will Neff Nesua],https://www.youtube.com/watch?v=wkVwwZoOyTw,2023-02-11T13:00:41Z,PT8H28M11S,wkVwwZoOyTw
Jerma Streams - Dark and Darker (Part 2) [With Ster Vinny and JustJoels],https://www.youtube.com/watch?v=vwUGCwuWTPU,2023-02-10T13:00:44Z,PT9H10M14S,vwUGCwuWTPU
Jerma Streams - Dark and Darker,https://www.youtube.com/watch?v=vi2LGBzPVsE,2023-02-07T13:00:39Z,PT7H56M18S,vi2LGBzPVsE
Jerma Streams - The Eternal Cylinder (Part 3 Finale),https://www.youtube.com/watch?v=ZsvpTzqEaHQ,2023-02-06T13:00:31Z,PT6H51M24S,ZsvpTzqEaHQ
Jerma Streams - The Eternal Cylinder (Part 2),https://www.youtube.com/watch?v=I-1fdBQ_zk8,2023-02-04T13:00:12Z,PT5H11M45S,I-1fdBQ_zk8
Jerma Streams - The Eternal Cylinder,https://www.youtube.com/watch?v=W1ah79alFco,2023-02-02T13:00:31Z,PT4H17M31S,W1ah79alFco
Jerma Streams - Elden Ring (Part 20) [Randomizer With Ster],https://www.youtube.com/watch?v=UXJRooj5AcY,2023-01-30T13:00:17Z,PT6H30M30S,UXJRooj5AcY
Jerma Streams - Elden Ring (Part 19) [Randomizer With Ster],https://www.youtube.com/watch?v=UHEqKzPYNKo,2023-01-29T13:00:16Z,PT8H13M44S,UHEqKzPYNKo
Jerma Streams - Plants vs. Zombies,https://www.youtube.com/watch?v=qkB66c4UKbo,2023-01-25T13:00:37Z,PT6H48M6S,qkB66c4UKbo
Jerma Streams - Elden Ring (Part 18) [Randomizer With Ster],https://www.youtube.com/watch?v=GqU4Ygo0ZnU,2023-01-23T13:00:17Z,PT7H11M51S,GqU4Ygo0ZnU
Jerma Streams - Elden Ring (Part 17) [Randomizer With Ster],https://www.youtube.com/watch?v=DDUeScVKrrg,2023-01-22T18:33:58Z,PT8H43M31S,DDUeScVKrrg
Jerma Streams - Xbox Games (Part 3),https://www.youtube.com/watch?v=VXVS0yBYZ5M,2023-01-20T13:00:30Z,PT6H16M9S,VXVS0yBYZ5M
Jerma Streams - PlayStation 1 Games (Part 3) and PlayStation 2 Games (Part 6),https://www.youtube.com/watch?v=M3V1CdPBx-A,2023-01-18T13:00:22Z,PT8H21M36S,M3V1CdPBx-A
Jerma Streams - Xbox Games (Part 2),https://www.youtube.com/watch?v=XMuR8PY4uQg,2023-01-16T13:00:15Z,PT6H28M58S,XMuR8PY4uQg
Jerma Streams - PlateUp! [With Ster],https://www.youtube.com/watch?v=R288AtyTlNw,2023-01-10T13:00:13Z,PT5H36M41S,R288AtyTlNw
Jerma Streams - Embr [With Ster],https://www.youtube.com/watch?v=717JudB2-h4,2023-01-10T13:00:05Z,PT2H41M11S,717JudB2-h4
Jerma Streams - Super Psycho Baseball,https://www.youtube.com/watch?v=m1oduKl9EOI,2023-01-09T13:00:34Z,PT51M11S,m1oduKl9EOI
Jerma Streams - A Little To The Left,https://www.youtube.com/watch?v=Rc0UXt53eRE,2023-01-09T13:00:13Z,PT4H21M31S,Rc0UXt53eRE
Jerma Streams - Watching 80's 90's and 00's Commercials,https://www.youtube.com/watch?v=MvmF2tLFv4w,2023-01-07T13:00:22Z,PT4H34M44S,MvmF2tLFv4w
Jerma Streams - Wrestling Empire (Part 4),https://www.youtube.com/watch?v=oQU-3JhgdfQ,2023-01-06T02:43:02Z,PT5H56M1S,oQU-3JhgdfQ
Jerma Streams - Christmas Special Stream Awards 2022 Behind the Scenes,https://www.youtube.com/watch?v=1OL5aZjNCpc,2022-12-24T13:00:01Z,PT2H14M34S,1OL5aZjNCpc
Jerma Streams - Christmas Special Stream Awards 2022 (Jerma985 Channel Version),https://www.youtube.com/watch?v=Q-ZfWeWqNdg,2022-12-20T15:00:23Z,PT5H12M30S,Q-ZfWeWqNdg
Jerma Streams - Christmas Special Stream Awards 2022 (realjermachristmas Channel Version),https://www.youtube.com/watch?v=OXT5NNRKNQM,2022-12-20T15:00:12Z,PT5H12M30S,OXT5NNRKNQM
Jerma Streams - A No Comb Comb Stream,https://www.youtube.com/watch?v=-YJ4_7Rljd0,2022-12-15T13:00:00Z,PT1H33M42S,-YJ4_7Rljd0
Jerma Streams - The Game Awards 2022,https://www.youtube.com/watch?v=WL4zoSQveio,2022-12-09T13:00:17Z,PT3H1M22S,WL4zoSQveio
Jerma Streams - Warhammer 40 000: Darktide (Part 2) [With Ster Vinny Criken and VRJosh ],https://www.youtube.com/watch?v=Yf2Vy0iJ_bc,2022-12-01T13:00:25Z,PT4H55M42S,Yf2Vy0iJ_bc
Jerma Streams - Wildermyth [With Ster and Strippin],https://www.youtube.com/watch?v=jzWZSuyVuxU,2022-11-30T13:00:18Z,PT5H34M34S,jzWZSuyVuxU
Jerma Streams - Warhammer 40 000: Darktide [With Vinny Criken Charborg VRJosh and Strippin],https://www.youtube.com/watch?v=vFFdWXo4z04,2022-11-27T13:00:40Z,PT4H43M55S,vFFdWXo4z04
Jerma Streams - Hatsune Miku Logic Paint S,https://www.youtube.com/watch?v=fbIy9o1xuXs,2022-11-26T13:00:35Z,PT4H16M35S,fbIy9o1xuXs
Jerma Streams - The Sims 4 (Part 6),https://www.youtube.com/watch?v=kt5g_H8M-9I,2022-11-24T13:00:32Z,PT5H18M3S,kt5g_H8M-9I
Jerma Streams - MultiVersus (Part 6),https://www.youtube.com/watch?v=YR7gZDJjn-0,2022-11-19T13:00:32Z,PT2H47M11S,YR7gZDJjn-0
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 7),https://www.youtube.com/watch?v=RAWrkFMVQpE,2022-11-19T13:00:24Z,PT3H4M41S,RAWrkFMVQpE
Jerma Streams - The Sims 4 (Part 5),https://www.youtube.com/watch?v=o5SoSXWbnWc,2022-11-17T13:00:30Z,PT6H31M51S,o5SoSXWbnWc
Jerma Streams - The Sims 4 (Part 4),https://www.youtube.com/watch?v=XukEJgS7h8U,2022-11-16T17:30:06Z,PT4H23M31S,XukEJgS7h8U
The SUS Guy Streams - Among Us VR,https://www.youtube.com/watch?v=Dkosk-1ZAno,2022-11-11T12:00:15Z,PT3H6S,Dkosk-1ZAno
Jerma Streams - Splatoon 3 (Part 2) [with Vinny (Vinesauce)],https://www.youtube.com/watch?v=fRyt4yyPFLI,2022-11-10T15:00:34Z,PT1H40M11S,fRyt4yyPFLI
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 6),https://www.youtube.com/watch?v=bQ2pdBH3E2k,2022-11-10T15:00:24Z,PT2H39M58S,bQ2pdBH3E2k
Jerma Streams - Pupperazzi,https://www.youtube.com/watch?v=zKKMdyFTP5A,2022-11-06T12:00:39Z,PT3H4M32S,zKKMdyFTP5A
Jerma Streams - Dread X Collection (Part 3),https://www.youtube.com/watch?v=npsE4WH-itE,2022-10-30T14:00:33Z,PT1H25M49S,npsE4WH-itE
Jerma Streams - Stay Out of the House,https://www.youtube.com/watch?v=fsnyLSO8LJw,2022-10-30T14:00:29Z,PT1H35M12S,fsnyLSO8LJw
Jerma Streams - Phasmophobia (Part 2) [with Vinny (Vinesauce) Ross (RubberRoss) and Liam Triforce],https://www.youtube.com/watch?v=P4AQZ4sqs6w,2022-10-30T14:00:22Z,PT2H10M1S,P4AQZ4sqs6w
Jerma Streams - At Dead Of Night,https://www.youtube.com/watch?v=KW9h8XBD3Bc,2022-10-30T14:00:10Z,PT2H2M6S,KW9h8XBD3Bc
Jerma Streams - Resident Evil Village (Part 3),https://www.youtube.com/watch?v=jTJoRLfLEsA,2022-10-29T14:00:23Z,PT5H58M53S,jTJoRLfLEsA
Jerma Streams - Gotham Knights (Part 3) [With HasanAbi],https://www.youtube.com/watch?v=i3LKvXIqS7U,2022-10-23T12:00:35Z,PT2H39M13S,i3LKvXIqS7U
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 5),https://www.youtube.com/watch?v=bdi_G7Xj1g4,2022-10-23T12:00:32Z,PT2H2M21S,bdi_G7Xj1g4
