Title,URL,Processed,Error,Whisper Transcription Time (MM:SS),Total Processing Time (MM:SS),Device
Jerma Streams - Pizza Tower (Part 2 Finale),https://www.youtube.com/watch?v=niKCmKEL0uU,True,,0:02:57
Jerma Streams - Pizza Tower,https://www.youtube.com/watch?v=FyVG9jwQaAA,True,,0:02:39
Jerma Streams - Worldbox,https://www.youtube.com/watch?v=7dnG-G534TA,True,,0:01:29
Jerma Streams - The Binding of Isaac: Repentance (Part 2),https://www.youtube.com/watch?v=Nnbh2QV73Ps,True,,0:06:03
Jerma Streams - The Last Hero of Nostalgaia (Part 3 Finale),https://www.youtube.com/watch?v=jSMfoAfVz5w,True,,0:06:02
Jerma Streams - Wild Hearts [With Vinny Vinesauce],https://www.youtube.com/watch?v=NHpcwiYR9SA,True,,0:05:18
Jerma Streams - The Last Hero of Nostalgaia (Part 2),https://www.youtube.com/watch?v=MrEGuhbMToA,True,,0:02:44
Jerma Streams - The Last Hero of Nostalgaia,https://www.youtube.com/watch?v=9h2aJ1ttxN8,True,,0:05:25
Jerma Streams - Elden Ring (Part 21) [Randomizer With Ster],https://www.youtube.com/watch?v=31sFaP3fceo,True,,0:07:30
"Jerma Streams - Dark and Darker (Part 3) [With Etalyx, Pokelawls, Criken, Will Neff, Nesua]",https://www.youtube.com/watch?v=wkVwwZoOyTw,True,,0:11:07
"Jerma Streams - Dark and Darker (Part 2) [With Ster, Vinny, and JustJoels]",https://www.youtube.com/watch?v=vwUGCwuWTPU,True,,0:12:19
Jerma Streams - Dark and Darker,https://www.youtube.com/watch?v=vi2LGBzPVsE,True,,0:06:12
ERROR,https://www.youtube.com/watch?v=ZsvpTzqEaHQ,False,"ERROR: 
[download] Got error: <urlopen error [Errno -3] Temporary failure in name resolution>",0:00:12
Jerma Streams - The Eternal Cylinder (Part 2),https://www.youtube.com/watch?v=I-1fdBQ_zk8,True,,0:04:49
Jerma Streams - The Eternal Cylinder,https://www.youtube.com/watch?v=W1ah79alFco,True,,0:04:35
Jerma Streams - Elden Ring (Part 20) [Randomizer With Ster],https://www.youtube.com/watch?v=UXJRooj5AcY,True,,0:08:40
Jerma Streams - Elden Ring (Part 19) [Randomizer With Ster],https://www.youtube.com/watch?v=UHEqKzPYNKo,True,,0:10:11
Jerma Streams - Plants vs. Zombies,https://www.youtube.com/watch?v=qkB66c4UKbo,True,,0:05:43
Jerma Streams - Elden Ring (Part 18) [Randomizer With Ster],https://www.youtube.com/watch?v=GqU4Ygo0ZnU,True,,0:09:22
Jerma Streams - Elden Ring (Part 17) [Randomizer With Ster],https://www.youtube.com/watch?v=DDUeScVKrrg,True,,0:10:04
Jerma Streams - Xbox Games (Part 3),https://www.youtube.com/watch?v=VXVS0yBYZ5M,True,,0:05:09
ERROR,https://www.youtube.com/watch?v=M3V1CdPBx-A,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:35
Jerma Streams - Xbox Games (Part 2),https://www.youtube.com/watch?v=XMuR8PY4uQg,True,,0:05:40
Jerma Streams - PlateUp! [With Ster],https://www.youtube.com/watch?v=R288AtyTlNw,True,,0:07:05
Jerma Streams - Embr [With Ster],https://www.youtube.com/watch?v=717JudB2-h4,True,,0:03:18
Jerma Streams - Super Psycho Baseball,https://www.youtube.com/watch?v=m1oduKl9EOI,True,,0:01:00
ERROR,https://www.youtube.com/watch?v=Rc0UXt53eRE,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:34
ERROR,https://www.youtube.com/watch?v=MvmF2tLFv4w,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:33
Jerma Streams - Wrestling Empire (Part 4),https://www.youtube.com/watch?v=oQU-3JhgdfQ,True,,0:05:08
ERROR,https://www.youtube.com/watch?v=1OL5aZjNCpc,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:27
Jerma Streams - Christmas Special/Stream Awards 2022 (Jerma985 Channel Version),https://www.youtube.com/watch?v=Q-ZfWeWqNdg,True,,0:07:05
ERROR,https://www.youtube.com/watch?v=OXT5NNRKNQM,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:42
Jerma Streams - A No Comb Comb Stream,https://www.youtube.com/watch?v=-YJ4_7Rljd0,True,,0:02:13
Jerma Streams -  The Game Awards 2022,https://www.youtube.com/watch?v=WL4zoSQveio,True,,0:03:29
"Jerma Streams - Warhammer 40,000: Darktide (Part 2) [With Ster, Vinny, Criken, and VRJosh ]",https://www.youtube.com/watch?v=Yf2Vy0iJ_bc,True,,0:06:52
Jerma Streams - Wildermyth [With Ster and Strippin],https://www.youtube.com/watch?v=jzWZSuyVuxU,True,,0:08:32
"Jerma Streams - Warhammer 40,000: Darktide [With Vinny, Criken, Charborg, VRJosh, and Strippin]",https://www.youtube.com/watch?v=vFFdWXo4z04,True,,0:07:15
Jerma Streams - Hatsune Miku Logic Paint S,https://www.youtube.com/watch?v=fbIy9o1xuXs,True,,0:04:42
Jerma Streams - The Sims 4 (Part 6),https://www.youtube.com/watch?v=kt5g_H8M-9I,True,,0:04:34
Jerma Streams - MultiVersus (Part 6),https://www.youtube.com/watch?v=YR7gZDJjn-0,True,,0:02:14
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 7),https://www.youtube.com/watch?v=RAWrkFMVQpE,True,,0:02:58
ERROR,https://www.youtube.com/watch?v=o5SoSXWbnWc,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:32
ERROR,https://www.youtube.com/watch?v=XukEJgS7h8U,False,"ERROR: 
[download] Got error: <urlopen error [Errno -3] Temporary failure in name resolution>",0:00:32
ERROR,https://www.youtube.com/watch?v=Dkosk-1ZAno,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:42
Jerma Streams - Splatoon 3 (Part 2) [with Vinny (Vinesauce)],https://www.youtube.com/watch?v=fRyt4yyPFLI,True,,0:03:38
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 6),https://www.youtube.com/watch?v=bQ2pdBH3E2k,True,,0:02:42
Jerma Streams - Pupperazzi,https://www.youtube.com/watch?v=zKKMdyFTP5A,True,,0:03:20
Jerma Streams - Dread X Collection (Part 3),https://www.youtube.com/watch?v=npsE4WH-itE,True,,0:01:11
Jerma Streams - Stay Out of the House,https://www.youtube.com/watch?v=fsnyLSO8LJw,True,,0:01:20
"Jerma Streams - Phasmophobia (Part 2) [with Vinny (Vinesauce), Ross (RubberRoss) and Liam Triforce]",https://www.youtube.com/watch?v=P4AQZ4sqs6w,True,,0:04:04
Jerma Streams - At Dead Of Night,https://www.youtube.com/watch?v=KW9h8XBD3Bc,True,,0:01:52
Jerma Streams - Resident Evil Village (Part 3),https://www.youtube.com/watch?v=jTJoRLfLEsA,True,,0:05:17
Jerma Streams - Gotham Knights (Part 3) [With HasanAbi],https://www.youtube.com/watch?v=i3LKvXIqS7U,True,,0:03:27
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 5),https://www.youtube.com/watch?v=bdi_G7Xj1g4,True,,0:02:11
Jerma Streams - Gotham Knights (Part 2),https://www.youtube.com/watch?v=i95uoTgrWoU,True,,0:02:32
Jerma Streams - Deadly Night,https://www.youtube.com/watch?v=MP6GOqlg4XI,True,,0:01:38
Jerma Streams - Vampire Survivors (Part 4),https://www.youtube.com/watch?v=6ajZ1_V7MvI,True,,0:02:22
Jerma Streams - Gotham Knights,https://www.youtube.com/watch?v=RT5c-POi8Go,True,,0:02:54
Jerma Streams - Crash Bandicoot 4: It's About Time,https://www.youtube.com/watch?v=Vm0xCaYfeTU,True,,0:02:12
ERROR,https://www.youtube.com/watch?v=delIp4i3lmw,False,"ERROR: 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:44
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 4),https://www.youtube.com/watch?v=X5YsZp_nCT8,True,,0:05:42
Jerma Streams - Splatoon 3,https://www.youtube.com/watch?v=1awqkRjMZxI,True,,0:04:25
Jerma Streams - Trombone Champ,https://www.youtube.com/watch?v=uiLm1Pi6PUs,True,,0:01:42
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 3),https://www.youtube.com/watch?v=PToRzvl2PVA,True,,0:02:46
Jerma Streams - Slime Rancher 2,https://www.youtube.com/watch?v=4v4HNPEIhvc,True,,0:05:25
Jerma Streams - The Legend of Zelda: Breath of the Wild (Part 2),https://www.youtube.com/watch?v=4sRW4SknI9o,True,,0:05:22
Jerma Streams - The Legend of Zelda: Breath of the Wild,https://www.youtube.com/watch?v=kfAyqeIQS3E,True,,0:05:49
Jerma Streams - ULTRAKILL (Part 2),https://www.youtube.com/watch?v=suqXW9ll2FA,True,,0:01:23
Jerma Streams - Feed and Grow: Fish,https://www.youtube.com/watch?v=rVc--7rhK5Q,True,,0:01:45
Jerma Streams - Disney Infinity 3.0,https://www.youtube.com/watch?v=rN3C7H7Xz9Y,True,,0:00:09
Jerma Streams - Hamster Playground,https://www.youtube.com/watch?v=3NbgNTaKgS0,True,,0:00:37
Jerma Streams - 20 Minutes Till Dawn (Part 2),https://www.youtube.com/watch?v=0ryUHGBNU3M,True,,0:02:33
Jerma Streams - Turmoil,https://www.youtube.com/watch?v=0t0JSWg9zOY,True,,0:06:48
